id,at,type,severity,case_id,network,address,message,tx_hash,read
ALT-9012,2026-09-24T09:52:00+05:30,NOTICE_RESPONSE,Info,RAAZ-26-1019,BTC,bc1q5566n8tqlvxfrttvuwa84zrscg7wrparfme5ch,Tarang Digital Assets acknowledged notice and marked account for review,,False
ALT-9018,2026-09-24T09:45:00+05:30,OUTBOUND_TRANSFER,High,RAAZ-26-1004,TRON,Tg9wJGCu9kpGVEbEC7S9VaQt28djcny3vb,"Watched wallet moved 20,255.2 USDT to a new address",636966eb4adae972eb85e7fc01a96bd3083100836ec81efd47b85a98e341d8e6,True
ALT-9020,2026-09-24T04:09:00+05:30,DORMANT_REACTIVATED,Medium,RAAZ-26-1039,TRON,TAiiRhFnQ1MXkU3zyEGteyDMxfCWK4uEZu,Wallet dormant for 54 days became active again,14d8e95aa7261610bc2d5a6769401aec5c4d72186fa67d4bc410f6b7d47bc49f,True
ALT-9006,2026-09-24T00:50:00+05:30,EXCHANGE_DEPOSIT,Critical,RAAZ-26-1010,ETH,0x89686d90de06a6be63ca602cdab6765c4504c519,Funds from watched wallet reached Tarang Digital Assets deposit address in 3 hops,0x431c89c2d0614be7029bd42ec328b245ae10af587cde62f6d6f2fceb24e6b6ff,True
ALT-9025,2026-09-24T00:49:00+05:30,OUTBOUND_TRANSFER,High,RAAZ-26-1049,ETH,0x8597567d00d23b78fbf0a25234df03060e145624,"Watched wallet moved 16,342.93 USDC to a new address",0x9d16fcb9aadf4561a92493ce59063d4f47609382f72ae694aa17a072456144ea,True
ALT-9023,2026-09-23T21:51:00+05:30,MIXER_INTERACTION,Critical,RAAZ-26-1017,BSC,0x7d97e08c1b728e877573edec907db4a7969187e9,Watched wallet interacted with Obscura Mixer,0x18803302373464f9a3bfbe761ebfe88feaee5a46e3e0512606f53c2296bdda14,False
ALT-9024,2026-09-23T17:42:00+05:30,NOTICE_RESPONSE,Info,RAAZ-26-1045,POLYGON,0xe3b4abfbeda5737748964df3cf0c36b1b1d9c474,Halcyon Swap acknowledged notice and marked account for review,,True
ALT-9013,2026-09-23T17:16:00+05:30,NOTICE_RESPONSE,Info,RAAZ-26-1049,ETH,0x8597567d00d23b78fbf0a25234df03060e145624,Tarang Digital Assets acknowledged notice and marked account for review,,False
ALT-9016,2026-09-23T16:33:00+05:30,OUTBOUND_TRANSFER,High,RAAZ-26-1039,TRON,TAiiRhFnQ1MXkU3zyEGteyDMxfCWK4uEZu,"Watched wallet moved 13,463.81 USDT to a new address",72416883ad53bf87828cbf6b20c638aea95c5be4212dc54668d043b6ac1c124e,True
ALT-9008,2026-09-23T14:14:00+05:30,EXCHANGE_DEPOSIT,Critical,RAAZ-26-1049,ETH,0x8597567d00d23b78fbf0a25234df03060e145624,Funds from watched wallet reached Kestrel Markets deposit address in 3 hops,0x72b412b7b2f5b541d17874a3b58c4db0368244c9dea5e2f3530a44cc29c0b367,False
ALT-9014,2026-09-23T14:12:00+05:30,OUTBOUND_TRANSFER,High,RAAZ-26-1020,TRON,TBBzYbZPCxDqvAmFZNnvDJKE5hu95VPrmd,"Watched wallet moved 6,037.58 USDT to a new address",80498228f2c74f2d80241223f337871eb6987c81289bfd9dce2f724d7b2d99dd,True
ALT-9003,2026-09-23T11:54:00+05:30,NOTICE_RESPONSE,Info,RAAZ-26-1004,TRON,Tg9wJGCu9kpGVEbEC7S9VaQt28djcny3vb,Aurum Bitmarket acknowledged notice and marked account for review,,False
ALT-9001,2026-09-23T11:51:00+05:30,NOTICE_RESPONSE,Info,RAAZ-26-1020,TRON,TBBzYbZPCxDqvAmFZNnvDJKE5hu95VPrmd,Aurum Bitmarket acknowledged notice and marked account for review,,False
ALT-9007,2026-09-23T11:25:00+05:30,NOTICE_RESPONSE,Info,RAAZ-26-1052,POLYGON,0xb3b9454cdb2740445389df892df254b5a0ecc021,Orbitra Pro acknowledged notice and marked account for review,,False
ALT-9021,2026-09-23T11:25:00+05:30,EXCHANGE_DEPOSIT,Critical,RAAZ-26-1049,ETH,0x8597567d00d23b78fbf0a25234df03060e145624,Funds from watched wallet reached Quasar Exchange deposit address in 2 hops,0xe3c63293ea6a56257a9eafdef92558d78a78dc67ce45b7a62608e95651f13ef3,False
ALT-9009,2026-09-23T09:57:00+05:30,MIXER_INTERACTION,Critical,RAAZ-26-1018,BTC,bc1qggpfqfclkvwyl8dk0nsr8eaq5maphz4pwpq0qd,Watched wallet interacted with Obscura Mixer,7e3ebded254c62620e7486cc3e79c77127ba4e9204243dbf404bb3072063d21c,True
ALT-9004,2026-09-23T08:28:00+05:30,NEW_INBOUND,High,RAAZ-26-1007,TRON,TaJXqcRHSmfSNjNFNsY7WfGZgnjoyP3vkT,"New inbound of 10,311.18 USDT to watched wallet - possible new victim",14c8f9f06a9fed291c578ffb96d3c1476df0af627dc5aa7079f24c9b49806512,False
