case_id,network,nearest_exchange,nodes,edges,density,is_dag,weak_components,avg_clustering,diameter,max_out_degree,max_in_degree,communities,modularity,max_flow_to_exchanges_inr,reachable_wallets,paths_to_nearest,shortest_hops_to_nearest
RAAZ-26-1001,BSC,,26,25,0.0385,True,1,0.0,11,4,3,5,0.5442,0,22,0,
RAAZ-26-1002,TRON,Pinecrest P2P,20,22,0.0579,True,1,0.0,6,4,5,5,0.4613,20244962,14,4,4
RAAZ-26-1003,TRON,Zentra Global,25,28,0.0467,True,1,0.0,6,5,6,6,0.5072,689902,18,5,4
RAAZ-26-1004,TRON,Pinecrest P2P,22,25,0.0541,True,1,0.0,6,5,5,6,0.4947,42006053,17,5,4
RAAZ-26-1005,TRON,Zentra Global,28,33,0.0437,True,1,0.0,7,3,7,6,0.527,1220509,22,7,5
RAAZ-26-1006,ETH,,17,16,0.0588,True,1,0.0,7,3,7,3,0.3986,0,9,0,
RAAZ-26-1007,TRON,Halcyon Swap,21,23,0.0548,True,1,0.0,7,2,5,4,0.4823,106762,15,4,5
RAAZ-26-1008,BSC,Zentra Global,24,27,0.0489,True,1,0.0,8,6,3,7,0.5427,8134918,21,3,3
RAAZ-26-1009,TRON,Quasar Exchange,24,26,0.0471,True,1,0.0,7,4,5,6,0.5383,8290866,18,4,5
RAAZ-26-1010,ETH,Tarang Digital Assets,22,25,0.0541,True,1,0.0,6,5,5,6,0.5003,16816909,18,5,4
RAAZ-26-1011,TRON,Lotus Chain Exchange,13,13,0.0833,True,1,0.0,6,2,3,3,0.4437,8823185,9,2,4
RAAZ-26-1012,ETH,Orbitra Pro,24,28,0.0507,True,1,0.0,6,6,6,5,0.4893,1064772,22,6,4
RAAZ-26-1013,ETH,Orbitra Pro,29,36,0.0443,True,1,0.0,6,5,9,6,0.48,124391,23,9,4
RAAZ-26-1014,ETH,Tarang Digital Assets,18,20,0.0654,True,1,0.0,6,4,4,5,0.4329,214448,13,4,4
RAAZ-26-1015,TRON,,12,11,0.0833,True,1,0.0,4,2,7,3,0.292,0,4,0,
RAAZ-26-1016,TRON,NovaX Exchange,22,23,0.0498,True,1,0.0,8,3,6,5,0.5253,165727,15,3,6
RAAZ-26-1017,BSC,NovaX Exchange,23,26,0.0514,True,1,0.0,7,5,5,7,0.5425,203565,21,5,5
RAAZ-26-1018,BTC,,31,30,0.0323,True,1,0.0,11,5,5,4,0.5672,0,25,0,
RAAZ-26-1019,BTC,Kestrel Markets,28,33,0.0437,True,1,0.0,6,6,7,6,0.5145,17382585,25,7,3
RAAZ-26-1020,TRON,Kestrel Markets,16,16,0.0667,True,1,0.0,8,2,2,4,0.4769,450644,13,2,6
RAAZ-26-1021,BSC,Orbitra Pro,21,21,0.05,True,1,0.0,11,3,6,5,0.5233,1138014,14,2,4
RAAZ-26-1022,BSC,Zentra Global,26,29,0.0446,True,1,0.0,6,3,5,4,0.5143,758965,20,5,4
RAAZ-26-1023,TRON,Lotus Chain Exchange,16,16,0.0667,True,1,0.0,7,2,3,4,0.4642,454103,12,2,5
RAAZ-26-1024,TRON,Kestrel Markets,17,18,0.0662,True,1,0.0,6,3,4,5,0.4781,1063251,12,3,4
RAAZ-26-1025,BSC,NovaX Exchange,25,28,0.0467,True,1,0.0,6,5,5,6,0.5016,9192737,21,5,4
RAAZ-26-1026,BSC,Tarang Digital Assets,17,18,0.0662,True,1,0.0,7,3,3,5,0.5001,2397714,14,3,5
RAAZ-26-1027,BSC,NovaX Exchange,43,51,0.0282,True,1,0.0,8,6,10,7,0.5647,623069,36,10,4
RAAZ-26-1028,TRON,Orbitra Pro,19,20,0.0585,True,1,0.0,9,4,4,5,0.5003,15759939,14,2,3
RAAZ-26-1029,TRON,,22,21,0.0455,True,1,0.0,7,6,4,7,0.5024,0,17,0,
RAAZ-26-1030,POLYGON,Halcyon Swap,11,10,0.0909,True,1,0.0,6,1,5,2,0.3207,2868453,5,1,4
RAAZ-26-1031,BTC,,27,26,0.037,True,1,0.0,10,4,2,5,0.5654,0,24,0,
RAAZ-26-1032,TRON,Tarang Digital Assets,14,15,0.0824,True,1,0.0,6,3,3,4,0.453,983709,12,3,4
RAAZ-26-1033,ETH,Pinecrest P2P,16,16,0.0667,True,1,0.0,6,2,6,4,0.3593,441101,9,2,4
RAAZ-26-1034,TRON,Lotus Chain Exchange,19,21,0.0614,True,1,0.0,5,4,6,6,0.4349,1711035,12,4,3
RAAZ-26-1035,BSC,Zentra Global,16,17,0.0708,True,1,0.0,7,2,3,4,0.4861,21117169,12,3,5
RAAZ-26-1036,TRON,Pinecrest P2P,9,8,0.1111,True,1,0.0,7,1,2,2,0.356,1838293,6,1,5
RAAZ-26-1037,TRON,Quasar Exchange,14,15,0.0824,True,1,0.0,6,3,3,4,0.4448,9737116,11,3,4
RAAZ-26-1038,TRON,Zentra Global,14,14,0.0769,True,1,0.0,6,2,3,3,0.4014,106158,10,2,4
RAAZ-26-1039,TRON,Lotus Chain Exchange,28,32,0.0423,True,1,0.0,6,6,6,7,0.5455,6144246,24,6,4
RAAZ-26-1040,BSC,Zentra Global,12,12,0.0909,True,1,0.0,7,2,2,4,0.4713,91525,10,2,5
RAAZ-26-1041,TRON,,19,18,0.0526,True,1,0.0,7,4,5,5,0.524,0,13,0,
RAAZ-26-1042,ETH,Suryodaya Crypto,19,20,0.0585,True,1,0.0,11,4,3,4,0.5321,367479,17,4,3
RAAZ-26-1043,TRON,Suryodaya Crypto,27,28,0.0399,True,1,0.0,8,3,4,5,0.5242,6466436,22,3,4
RAAZ-26-1044,TRON,Halcyon Swap,31,35,0.0376,True,1,0.0,8,4,6,6,0.5289,313196,25,6,5
RAAZ-26-1045,POLYGON,Zentra Global,28,28,0.037,True,1,0.0,14,2,6,4,0.5585,13812975,21,3,6
RAAZ-26-1046,BTC,NovaX Exchange,35,40,0.0336,True,1,0.0,7,6,7,7,0.557,140493,31,7,5
RAAZ-26-1047,ETH,Tarang Digital Assets,33,40,0.0379,True,1,0.0,7,6,9,7,0.5415,1360900,30,9,4
RAAZ-26-1048,TRON,Quasar Exchange,29,34,0.0419,True,1,0.0,6,5,7,6,0.4877,186090,23,7,4
RAAZ-26-1049,ETH,Pinecrest P2P,37,41,0.0308,True,1,0.0,13,6,6,6,0.5785,28465599,30,6,4
RAAZ-26-1050,TRON,Zentra Global,26,28,0.0431,True,1,0.0,7,4,6,5,0.4745,217421,19,4,4
RAAZ-26-1051,POLYGON,Halcyon Swap,15,16,0.0762,True,1,0.0,7,3,3,5,0.4944,81613,13,3,5
RAAZ-26-1052,POLYGON,Halcyon Swap,27,29,0.0413,True,1,0.0,8,5,6,6,0.5587,56748588,20,3,3
RAAZ-26-1053,TRON,Halcyon Swap,24,26,0.0471,True,1,0.0,6,4,4,5,0.5307,25044654,19,4,4
RAAZ-26-1054,TRON,Zentra Global,16,17,0.0708,True,1,0.0,6,3,4,4,0.4566,271752,11,3,4
RAAZ-26-1055,TRON,Lotus Chain Exchange,20,23,0.0605,True,1,0.0,6,5,5,6,0.4874,2078843,17,5,4
RAAZ-26-1056,POLYGON,Orbitra Pro,19,20,0.0585,True,1,0.0,7,3,3,5,0.4949,469133,15,3,5
RAAZ-26-1057,BTC,Meridian OTC Desk,28,33,0.0437,True,1,0.0,7,4,6,5,0.5327,587856,21,6,3
RAAZ-26-1058,BTC,NovaX Exchange,18,22,0.0719,True,1,0.0,5,6,6,8,0.4197,103194,15,6,3
RAAZ-26-1059,TRON,Halcyon Swap,11,10,0.0909,True,1,0.0,6,2,3,4,0.3476,2526593,7,1,4
RAAZ-26-1060,BSC,NovaX Exchange,15,15,0.0714,True,1,0.0,7,2,4,4,0.4661,3379839,10,2,5
