address,network,role,label,entity,cluster_id,risk_score,cases,in_inr,out_inr,tx_count,balance,token,first_seen,last_seen
TaJXqcRHSmfSNjNFNsY7WfGZgnjoyP3vkT,TRON,consolidation,Consolidation wallet (Syndicate A),,CL-SYN-01,97,RAAZ-26-1007;RAAZ-26-1009;RAAZ-26-1037;RAAZ-26-1048;RAAZ-26-1059,22109890,20847427,25,96.75,USDT,2026-06-12T08:00:00+05:30,2026-09-14T01:30:00+05:30
0xec93a5a5e96bb020c36c24ddd88416e6e1d35a53,ETH,mixer,Umbra Tumbler (mixing service),Umbra Tumbler,,96,RAAZ-26-1006;RAAZ-26-1049,7303131,7120552,7,,USDC,2026-07-27T15:28:00+05:30,2026-09-09T22:46:00+05:30
0x7d97e08c1b728e877573edec907db4a7969187e9,BSC,consolidation,Consolidation wallet (Syndicate C),,CL-SYN-03,96,RAAZ-26-1017;RAAZ-26-1022;RAAZ-26-1027;RAAZ-26-1035;RAAZ-26-1040;RAAZ-26-1060,26717222,26174132,34,0.2921,BNB,2026-07-05T06:53:00+05:30,2026-09-20T01:19:00+05:30
0xfc15c19543e95a33d8db7989cb39a07f066fb153,BSC,mixer,Obscura Mixer (mixing service),Obscura Mixer,,96,RAAZ-26-1027;RAAZ-26-1035,10273970,10017122,8,,USDT,2026-08-19T04:32:00+05:30,2026-09-20T00:45:00+05:30
bc1qqk0t7p3r6q49r7heu43dyzqwr0v8cax6gjqt3f,BTC,mixer,Umbra Tumbler (mixing service),Umbra Tumbler,,96,RAAZ-26-1031,8070,7872,4,,BTC,2026-09-01T08:10:00+05:30,2026-09-02T03:30:00+05:30
0xd5393b28e9a8d0539206f8d25f32a83bfa234907,ETH,mixer,Obscura Mixer (mixing service),Obscura Mixer,,96,RAAZ-26-1047,333019,324691,4,,ETH,2026-09-04T21:55:00+05:30,2026-09-05T18:51:00+05:30
0xcfde319e94c2c7774c689e15aaea135f5a2ba12e,ETH,consolidation,Consolidation wallet,,CL-1049-C,93,RAAZ-26-1049,25716484,23528564,8,24764.26,USDC,2026-09-09T00:30:00+05:30,2026-09-09T23:32:00+05:30
0x6c89b206b1081043b119dc1ef4cbfeac8f7181d7,POLYGON,consolidation,Consolidation wallet,,CL-1049-C,93,RAAZ-26-1049,4978052,4937035,2,464.25,USDC,2026-09-09T00:56:00+05:30,2026-09-09T01:20:00+05:30
TGsRGyN1csQ19FGdv7nxvfZu53ziucywXD,TRON,suspect,Reported suspect wallet,,CL-1048-A,92,RAAZ-26-1048,208625,202125,10,73.54,USDT,2026-07-02T03:06:00+05:30,2026-07-06T23:06:00+05:30
0xc7956196acb7f18d95497a06138b83f5c4e0e7ad,BSC,suspect,Reported suspect wallet,,CL-1035-A,91,RAAZ-26-1035,21859284,21645478,9,3.4765,BNB,2026-09-13T12:41:00+05:30,2026-09-19T03:19:00+05:30
